date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:07	74989/74989	---M--	200	added ('OK')	text/html	etag:%229e4150-124ed-5b14b96d936b1%22	https://davur.dexignzone.com/xhtml/index.html	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/index.html	(from )
11:40:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2019:01:52%20GMT	https://davur.dexignzone.com/robots.txt		(from )
11:40:08	3495/3495	---M--	200	added ('OK')	image/png	etag:%229ea1d9-da7-5b1280b792730%22	https://davur.dexignzone.com/xhtml/images/favicon.png	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/images/favicon.png	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:09	614/614	---M--	200	added ('OK')	text/css	etag:%22908096-266-5b1281ac25361%22	https://davur.dexignzone.com/xhtml/vendor/jqvmap/css/jqvmap.min.css	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/vendor/jqvmap/css/jqvmap.min.css	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:10	11508/11508	---M--	200	added ('OK')	text/css	etag:%227963b-2cf4-5b12816e273c4%22	https://davur.dexignzone.com/xhtml/vendor/chartist/css/chartist.min.css	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/vendor/chartist/css/chartist.min.css	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:11	10722/10722	---M--	200	added ('OK')	text/css	etag:%2298802c-29e2-5b1281ed480a4%22	https://davur.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:14	8094/8094	---M--	200	added ('OK')	image/png	etag:%229ea1dc-1f9e-5b1280b8bebe1%22	https://davur.dexignzone.com/xhtml/images/logo.png	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/images/logo.png	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:15	1031514/1031514	---M--	200	added ('OK')	text/css	etag:%227f61e5-fbd5a-5b1393def4b31%22	https://davur.dexignzone.com/xhtml/css/style.css	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/css/style.css	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:16	3980/3980	---M--	200	added ('OK')	image/png	etag:%229ea1db-f8c-5b1280b862c86%22	https://davur.dexignzone.com/xhtml/images/logo-text.png	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/images/logo-text.png	(from https://davur.dexignzone.com/xhtml/index.html)
11:40:16	32490/32490	---M--	200	added ('OK')	image/jpeg	etag:%229ec046-7eea-5b1280ba8e9c4%22	https://davur.dexignzone.com/xhtml/images/avatar/1.jpg	/Users/alexappelt/websites/Template%20Restaurante/davur.dexignzone.com/xhtml/images/avatar/1.jpg	(from https://davur.dexignzone.com/xhtml/index.html)
